timeStamp,elapsed,label,threadName,dataType,success,grpThreads,allThreads,Latency
1403083245390,23588,dennis-nb Memory usedperc,,,true,0,0,0
1403083246406,23512,dennis-nb Memory usedperc,,,true,0,0,0
1403083247406,23626,dennis-nb Memory usedperc,,,true,0,0,0
1403083248406,23710,dennis-nb Memory usedperc,,,true,0,0,0
1403083249593,23643,dennis-nb Memory usedperc,,,true,0,0,0
1403083250875,23642,dennis-nb Memory usedperc,,,true,0,0,0
1403083251875,23645,dennis-nb Memory usedperc,,,true,0,0,0
1403083252875,23745,dennis-nb Memory usedperc,,,true,0,0,0
1403083253875,23767,dennis-nb Memory usedperc,,,true,0,0,0
1403083254875,23835,dennis-nb Memory usedperc,,,true,0,0,0
1403083255875,23855,dennis-nb Memory usedperc,,,true,0,0,0
1403083256875,25554,dennis-nb Memory usedperc,,,true,0,0,0
1403083257875,25706,dennis-nb Memory usedperc,,,true,0,0,0
1403083258875,25888,dennis-nb Memory usedperc,,,true,0,0,0
1403083259875,26434,dennis-nb Memory usedperc,,,true,0,0,0
1403083260875,26432,dennis-nb Memory usedperc,,,true,0,0,0
1403083261875,26480,dennis-nb Memory usedperc,,,true,0,0,0
1403083262875,26496,dennis-nb Memory usedperc,,,true,0,0,0
1403083263875,26715,dennis-nb Memory usedperc,,,true,0,0,0
1403083264875,26807,dennis-nb Memory usedperc,,,true,0,0,0
1403083265875,26592,dennis-nb Memory usedperc,,,true,0,0,0
1403083266875,26667,dennis-nb Memory usedperc,,,true,0,0,0
1403083267875,26614,dennis-nb Memory usedperc,,,true,0,0,0
1403083268875,27291,dennis-nb Memory usedperc,,,true,0,0,0
1403083269875,28037,dennis-nb Memory usedperc,,,true,0,0,0
1403083270875,28537,dennis-nb Memory usedperc,,,true,0,0,0
1403083271875,28852,dennis-nb Memory usedperc,,,true,0,0,0
1403083272875,28851,dennis-nb Memory usedperc,,,true,0,0,0
1403083273875,28887,dennis-nb Memory usedperc,,,true,0,0,0
1403083274875,28915,dennis-nb Memory usedperc,,,true,0,0,0
1403083275875,29038,dennis-nb Memory usedperc,,,true,0,0,0
1403083276875,29681,dennis-nb Memory usedperc,,,true,0,0,0
1403083277875,29679,dennis-nb Memory usedperc,,,true,0,0,0
1403083278875,30171,dennis-nb Memory usedperc,,,true,0,0,0
1403083279875,30635,dennis-nb Memory usedperc,,,true,0,0,0
1403083280875,30658,dennis-nb Memory usedperc,,,true,0,0,0
1403083281875,31076,dennis-nb Memory usedperc,,,true,0,0,0
1403083282875,31433,dennis-nb Memory usedperc,,,true,0,0,0
1403083283875,31448,dennis-nb Memory usedperc,,,true,0,0,0
1403083284875,31864,dennis-nb Memory usedperc,,,true,0,0,0
1403083285875,31883,dennis-nb Memory usedperc,,,true,0,0,0
1403083286875,32368,dennis-nb Memory usedperc,,,true,0,0,0
1403083287875,32376,dennis-nb Memory usedperc,,,true,0,0,0
1403083289265,32811,dennis-nb Memory usedperc,,,true,0,0,0
1403083290750,33352,dennis-nb Memory usedperc,,,true,0,0,0
1403083293250,33777,dennis-nb Memory usedperc,,,true,0,0,0
1403083303250,33791,dennis-nb Memory usedperc,,,true,0,0,0
1403083304250,34331,dennis-nb Memory usedperc,,,true,0,0,0
1403083311250,34749,dennis-nb Memory usedperc,,,true,0,0,0
1403083312250,35088,dennis-nb Memory usedperc,,,true,0,0,0
1403083313250,35088,dennis-nb Memory usedperc,,,true,0,0,0
1403083314250,35111,dennis-nb Memory usedperc,,,true,0,0,0
1403083315250,35111,dennis-nb Memory usedperc,,,true,0,0,0
1403083316250,35110,dennis-nb Memory usedperc,,,true,0,0,0
1403083317250,35110,dennis-nb Memory usedperc,,,true,0,0,0
1403083318250,35110,dennis-nb Memory usedperc,,,true,0,0,0
1403083319250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083320250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083321250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083322250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083323250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083324250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083325250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083326250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083327250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083328250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083329250,35113,dennis-nb Memory usedperc,,,true,0,0,0
1403083330250,35170,dennis-nb Memory usedperc,,,true,0,0,0
1403083331250,35170,dennis-nb Memory usedperc,,,true,0,0,0
1403083332250,35170,dennis-nb Memory usedperc,,,true,0,0,0
1403083333250,35170,dennis-nb Memory usedperc,,,true,0,0,0
1403083334250,35170,dennis-nb Memory usedperc,,,true,0,0,0
1403083335250,35139,dennis-nb Memory usedperc,,,true,0,0,0
1403083336250,35139,dennis-nb Memory usedperc,,,true,0,0,0
1403083337250,35139,dennis-nb Memory usedperc,,,true,0,0,0
1403083338250,35139,dennis-nb Memory usedperc,,,true,0,0,0
1403083339250,35139,dennis-nb Memory usedperc,,,true,0,0,0
1403083340250,35139,dennis-nb Memory usedperc,,,true,0,0,0
1403083341250,35139,dennis-nb Memory usedperc,,,true,0,0,0
1403083342250,35139,dennis-nb Memory usedperc,,,true,0,0,0
1403083343250,35231,dennis-nb Memory usedperc,,,true,0,0,0
1403083344250,35281,dennis-nb Memory usedperc,,,true,0,0,0
1403083345250,35252,dennis-nb Memory usedperc,,,true,0,0,0
1403083346250,35241,dennis-nb Memory usedperc,,,true,0,0,0
1403083347250,35241,dennis-nb Memory usedperc,,,true,0,0,0
1403083348250,35241,dennis-nb Memory usedperc,,,true,0,0,0
1403083349250,35241,dennis-nb Memory usedperc,,,true,0,0,0
1403083350250,35273,dennis-nb Memory usedperc,,,true,0,0,0
1403083351250,35273,dennis-nb Memory usedperc,,,true,0,0,0
1403083352250,35273,dennis-nb Memory usedperc,,,true,0,0,0
1403083353250,35273,dennis-nb Memory usedperc,,,true,0,0,0
1403083354250,35303,dennis-nb Memory usedperc,,,true,0,0,0
1403083355250,35311,dennis-nb Memory usedperc,,,true,0,0,0
1403083356250,35330,dennis-nb Memory usedperc,,,true,0,0,0
1403083357250,35545,dennis-nb Memory usedperc,,,true,0,0,0
1403083358250,35545,dennis-nb Memory usedperc,,,true,0,0,0
1403083359250,35922,dennis-nb Memory usedperc,,,true,0,0,0
1403083360250,35923,dennis-nb Memory usedperc,,,true,0,0,0
1403083361250,35923,dennis-nb Memory usedperc,,,true,0,0,0
1403083362250,35923,dennis-nb Memory usedperc,,,true,0,0,0
1403083363250,35923,dennis-nb Memory usedperc,,,true,0,0,0
1403083364250,35923,dennis-nb Memory usedperc,,,true,0,0,0
1403083365250,36136,dennis-nb Memory usedperc,,,true,0,0,0
1403083366250,36136,dennis-nb Memory usedperc,,,true,0,0,0
1403083367250,36136,dennis-nb Memory usedperc,,,true,0,0,0
1403083368250,36136,dennis-nb Memory usedperc,,,true,0,0,0
1403083369250,36136,dennis-nb Memory usedperc,,,true,0,0,0
1403083370250,36135,dennis-nb Memory usedperc,,,true,0,0,0
1403083371250,36139,dennis-nb Memory usedperc,,,true,0,0,0
1403083372250,36161,dennis-nb Memory usedperc,,,true,0,0,0
1403083373250,36196,dennis-nb Memory usedperc,,,true,0,0,0
1403083374250,36196,dennis-nb Memory usedperc,,,true,0,0,0
1403083375250,36196,dennis-nb Memory usedperc,,,true,0,0,0
1403083376250,36222,dennis-nb Memory usedperc,,,true,0,0,0
1403083377250,36222,dennis-nb Memory usedperc,,,true,0,0,0
1403083378250,36222,dennis-nb Memory usedperc,,,true,0,0,0
1403083379250,36226,dennis-nb Memory usedperc,,,true,0,0,0
1403083380250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083381250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083382250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083383250,36251,dennis-nb Memory usedperc,,,true,0,0,0
1403083384250,36251,dennis-nb Memory usedperc,,,true,0,0,0
1403083385250,36231,dennis-nb Memory usedperc,,,true,0,0,0
1403083386250,36230,dennis-nb Memory usedperc,,,true,0,0,0
1403083387250,36230,dennis-nb Memory usedperc,,,true,0,0,0
1403083388250,36230,dennis-nb Memory usedperc,,,true,0,0,0
1403083389250,36230,dennis-nb Memory usedperc,,,true,0,0,0
1403083390250,36230,dennis-nb Memory usedperc,,,true,0,0,0
1403083391250,36230,dennis-nb Memory usedperc,,,true,0,0,0
1403083392250,36230,dennis-nb Memory usedperc,,,true,0,0,0
1403083393250,36070,dennis-nb Memory usedperc,,,true,0,0,0
1403083394250,36070,dennis-nb Memory usedperc,,,true,0,0,0
1403083395250,36084,dennis-nb Memory usedperc,,,true,0,0,0
1403083396250,35992,dennis-nb Memory usedperc,,,true,0,0,0
1403083397250,35992,dennis-nb Memory usedperc,,,true,0,0,0
1403083398250,35992,dennis-nb Memory usedperc,,,true,0,0,0
1403083399250,36008,dennis-nb Memory usedperc,,,true,0,0,0
1403083409250,36008,dennis-nb Memory usedperc,,,true,0,0,0
1403083410250,36043,dennis-nb Memory usedperc,,,true,0,0,0
1403083411250,36043,dennis-nb Memory usedperc,,,true,0,0,0
1403083412250,36043,dennis-nb Memory usedperc,,,true,0,0,0
1403083413250,36043,dennis-nb Memory usedperc,,,true,0,0,0
1403083414250,36043,dennis-nb Memory usedperc,,,true,0,0,0
1403083415250,36069,dennis-nb Memory usedperc,,,true,0,0,0
1403083416250,36147,dennis-nb Memory usedperc,,,true,0,0,0
1403083417250,36147,dennis-nb Memory usedperc,,,true,0,0,0
1403083418250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083419250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083420250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083421250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083422250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083423250,36225,dennis-nb Memory usedperc,,,true,0,0,0
1403083424250,36253,dennis-nb Memory usedperc,,,true,0,0,0
1403083425250,36253,dennis-nb Memory usedperc,,,true,0,0,0
1403083426250,36253,dennis-nb Memory usedperc,,,true,0,0,0
1403083427250,36253,dennis-nb Memory usedperc,,,true,0,0,0
1403083428250,36307,dennis-nb Memory usedperc,,,true,0,0,0
1403083429250,36268,dennis-nb Memory usedperc,,,true,0,0,0
1403083430250,36268,dennis-nb Memory usedperc,,,true,0,0,0
1403083431250,36361,dennis-nb Memory usedperc,,,true,0,0,0
1403083432250,36362,dennis-nb Memory usedperc,,,true,0,0,0
1403083433250,36364,dennis-nb Memory usedperc,,,true,0,0,0
