timeStamp,elapsed,label,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1402998311437,1124000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998312437,1465000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998313437,1947000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998314437,2523000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998315437,1523000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998316437,2471000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998317562,1378000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998318562,2278000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998319562,1238000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998320562,2097000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998321562,1036000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998322562,2355000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998323562,1246000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998324562,1742000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998325562,2195000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998326562,2693000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998327562,1451000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998328562,1949000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998329562,2765000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998330562,1526000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998331562,2267000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998332562,1255000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998333562,2133000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998334593,2792000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998335593,1842000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998336593,2775000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998337593,2173000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998338593,1439000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998339593,2579000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998340593,1850000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998341593,1364000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998342593,2662000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998343593,2610000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998344593,1718000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998345593,1414000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998346593,2737000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998347593,2167000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
1402998348593,1392000,dennis-nb JMX unit=mb:memory-usage,,,true,0,0,0,0
