timeStamp,elapsed,label,threadName,dataType,success,grpThreads,allThreads,Latency
1403257202375,24651,dennis-nb Memory usedperc,,,true,0,0,0
1403257203390,24889,dennis-nb Memory usedperc,,,true,0,0,0
1403257204390,24903,dennis-nb Memory usedperc,,,true,0,0,0
1403257205390,24903,dennis-nb Memory usedperc,,,true,0,0,0
1403257206421,25028,dennis-nb Memory usedperc,,,true,0,0,0
1403257207437,25131,dennis-nb Memory usedperc,,,true,0,0,0
1403257208468,25118,dennis-nb Memory usedperc,,,true,0,0,0
1403257209484,25223,dennis-nb Memory usedperc,,,true,0,0,0
1403257210484,25108,dennis-nb Memory usedperc,,,true,0,0,0
1403257211484,25144,dennis-nb Memory usedperc,,,true,0,0,0
1403257212484,25170,dennis-nb Memory usedperc,,,true,0,0,0
1403257213484,25146,dennis-nb Memory usedperc,,,true,0,0,0
1403257214484,25439,dennis-nb Memory usedperc,,,true,0,0,0
1403257215484,25504,dennis-nb Memory usedperc,,,true,0,0,0
1403257216484,25537,dennis-nb Memory usedperc,,,true,0,0,0
1403257217484,26391,dennis-nb Memory usedperc,,,true,0,0,0
1403257218484,26680,dennis-nb Memory usedperc,,,true,0,0,0
1403257219484,26724,dennis-nb Memory usedperc,,,true,0,0,0
1403257220484,26621,dennis-nb Memory usedperc,,,true,0,0,0
1403257221484,26665,dennis-nb Memory usedperc,,,true,0,0,0
1403257222484,26924,dennis-nb Memory usedperc,,,true,0,0,0
1403257223484,26950,dennis-nb Memory usedperc,,,true,0,0,0
1403257224484,26985,dennis-nb Memory usedperc,,,true,0,0,0
1403257225484,26845,dennis-nb Memory usedperc,,,true,0,0,0
1403257226484,26897,dennis-nb Memory usedperc,,,true,0,0,0
1403257227484,26923,dennis-nb Memory usedperc,,,true,0,0,0
1403257228484,26865,dennis-nb Memory usedperc,,,true,0,0,0
1403257229484,26870,dennis-nb Memory usedperc,,,true,0,0,0
1403257230484,26913,dennis-nb Memory usedperc,,,true,0,0,0
1403257231484,27036,dennis-nb Memory usedperc,,,true,0,0,0
1403257232484,27393,dennis-nb Memory usedperc,,,true,0,0,0
1403257233484,27361,dennis-nb Memory usedperc,,,true,0,0,0
1403257234484,29261,dennis-nb Memory usedperc,,,true,0,0,0
1403257235484,29206,dennis-nb Memory usedperc,,,true,0,0,0
1403257236484,29229,dennis-nb Memory usedperc,,,true,0,0,0
1403257237484,29312,dennis-nb Memory usedperc,,,true,0,0,0
1403257238484,29332,dennis-nb Memory usedperc,,,true,0,0,0
1403257239484,29331,dennis-nb Memory usedperc,,,true,0,0,0
1403257240484,29370,dennis-nb Memory usedperc,,,true,0,0,0
1403257241484,29370,dennis-nb Memory usedperc,,,true,0,0,0
1403257242484,29419,dennis-nb Memory usedperc,,,true,0,0,0
1403257243484,29478,dennis-nb Memory usedperc,,,true,0,0,0
1403257244484,29333,dennis-nb Memory usedperc,,,true,0,0,0
1403257245484,29342,dennis-nb Memory usedperc,,,true,0,0,0
1403257246484,29393,dennis-nb Memory usedperc,,,true,0,0,0
1403257247484,29418,dennis-nb Memory usedperc,,,true,0,0,0
1403257248484,29445,dennis-nb Memory usedperc,,,true,0,0,0
1403257249484,29319,dennis-nb Memory usedperc,,,true,0,0,0
1403257250484,29330,dennis-nb Memory usedperc,,,true,0,0,0
1403257251484,29356,dennis-nb Memory usedperc,,,true,0,0,0
1403257252484,29382,dennis-nb Memory usedperc,,,true,0,0,0
1403257253484,29408,dennis-nb Memory usedperc,,,true,0,0,0
1403257254484,29353,dennis-nb Memory usedperc,,,true,0,0,0
1403257255484,29379,dennis-nb Memory usedperc,,,true,0,0,0
1403257256484,29405,dennis-nb Memory usedperc,,,true,0,0,0
1403257257484,29390,dennis-nb Memory usedperc,,,true,0,0,0
1403257258484,29442,dennis-nb Memory usedperc,,,true,0,0,0
1403257259484,29468,dennis-nb Memory usedperc,,,true,0,0,0
1403257260484,29494,dennis-nb Memory usedperc,,,true,0,0,0
1403257261484,29520,dennis-nb Memory usedperc,,,true,0,0,0
1403257262484,29490,dennis-nb Memory usedperc,,,true,0,0,0
1403257263484,29516,dennis-nb Memory usedperc,,,true,0,0,0
1403257264484,29531,dennis-nb Memory usedperc,,,true,0,0,0
1403257265484,29496,dennis-nb Memory usedperc,,,true,0,0,0
1403257266484,29539,dennis-nb Memory usedperc,,,true,0,0,0
1403257267484,29449,dennis-nb Memory usedperc,,,true,0,0,0
1403257268484,29475,dennis-nb Memory usedperc,,,true,0,0,0
1403257269484,29517,dennis-nb Memory usedperc,,,true,0,0,0
1403257270484,29512,dennis-nb Memory usedperc,,,true,0,0,0
1403257271484,29557,dennis-nb Memory usedperc,,,true,0,0,0
1403257272484,29588,dennis-nb Memory usedperc,,,true,0,0,0
1403257273484,29614,dennis-nb Memory usedperc,,,true,0,0,0
1403257274484,29465,dennis-nb Memory usedperc,,,true,0,0,0
1403257275484,29452,dennis-nb Memory usedperc,,,true,0,0,0
1403257276484,29478,dennis-nb Memory usedperc,,,true,0,0,0
1403257277484,29504,dennis-nb Memory usedperc,,,true,0,0,0
1403257278484,29530,dennis-nb Memory usedperc,,,true,0,0,0
1403257279484,29581,dennis-nb Memory usedperc,,,true,0,0,0
1403257280484,29501,dennis-nb Memory usedperc,,,true,0,0,0
1403257281484,29510,dennis-nb Memory usedperc,,,true,0,0,0
1403257282484,29553,dennis-nb Memory usedperc,,,true,0,0,0
1403257283484,29491,dennis-nb Memory usedperc,,,true,0,0,0
1403257284484,29511,dennis-nb Memory usedperc,,,true,0,0,0
1403257285484,29557,dennis-nb Memory usedperc,,,true,0,0,0
1403257286484,29564,dennis-nb Memory usedperc,,,true,0,0,0
1403257287484,29590,dennis-nb Memory usedperc,,,true,0,0,0
1403257288484,29495,dennis-nb Memory usedperc,,,true,0,0,0
1403257289484,29535,dennis-nb Memory usedperc,,,true,0,0,0
1403257290484,29530,dennis-nb Memory usedperc,,,true,0,0,0
1403257291484,29533,dennis-nb Memory usedperc,,,true,0,0,0
1403257292484,29556,dennis-nb Memory usedperc,,,true,0,0,0
1403257293484,29582,dennis-nb Memory usedperc,,,true,0,0,0
1403257294484,29582,dennis-nb Memory usedperc,,,true,0,0,0
1403257295484,29604,dennis-nb Memory usedperc,,,true,0,0,0
1403257296484,29608,dennis-nb Memory usedperc,,,true,0,0,0
1403257297484,29608,dennis-nb Memory usedperc,,,true,0,0,0
1403257298484,29618,dennis-nb Memory usedperc,,,true,0,0,0
1403257299484,29632,dennis-nb Memory usedperc,,,true,0,0,0
1403257300484,29633,dennis-nb Memory usedperc,,,true,0,0,0
1403257301484,29633,dennis-nb Memory usedperc,,,true,0,0,0
1403257302484,29633,dennis-nb Memory usedperc,,,true,0,0,0
1403257303484,29633,dennis-nb Memory usedperc,,,true,0,0,0
1403257304484,29633,dennis-nb Memory usedperc,,,true,0,0,0
